order_id,product_id,date,quantity
1,31,2021-08-10,92
2,38,2021-08-02,46
3,47,2021-08-01,48
4,33,2021-08-09,18
5,29,2021-08-05,39
6,5,2021-08-07,20
7,46,2021-08-04,36
8,40,2021-08-10,28
9,43,2021-08-08,27
10,5,2021-08-08,39
11,36,2021-08-05,75
12,9,2021-08-10,43
13,19,2021-08-04,98
14,23,2021-08-09,7
15,43,2021-08-01,99
16,19,2021-08-05,49
17,10,2021-08-10,81
18,43,2021-08-08,18
19,24,2021-08-09,27
20,29,2021-08-01,64
21,49,2021-08-11,14
22,6,2021-08-01,92
23,16,2021-08-03,49
24,16,2021-08-09,43
25,9,2021-08-02,84
26,3,2021-08-04,27
27,33,2021-08-06,46
28,17,2021-08-01,60
29,26,2021-08-11,99
30,30,2021-08-01,65
31,11,2021-08-11,70
32,16,2021-08-01,61
33,31,2021-08-03,36
34,24,2021-08-05,52
35,27,2021-08-10,41
36,5,2021-08-02,12
37,33,2021-08-08,96
38,42,2021-08-05,13
39,30,2021-08-08,46
40,45,2021-08-07,95
41,18,2021-08-01,86
42,26,2021-08-01,4
43,9,2021-08-11,25
44,29,2021-08-04,8
45,37,2021-08-08,91
46,31,2021-08-10,33
47,9,2021-08-11,6
48,19,2021-08-08,44
49,12,2021-08-10,67
50,19,2021-08-04,47
51,13,2021-08-07,21
52,30,2021-08-05,27
53,16,2021-08-07,68
54,38,2021-08-06,93
55,29,2021-08-06,92
56,32,2021-08-08,83
57,44,2021-08-10,28
58,15,2021-08-08,87
59,8,2021-08-08,33
60,4,2021-08-07,80
61,47,2021-08-02,9
62,44,2021-08-10,52
63,27,2021-08-05,34
64,32,2021-08-09,1
65,49,2021-08-11,42
66,24,2021-08-05,31
67,49,2021-08-10,45
68,46,2021-08-08,63
69,37,2021-08-02,100
70,13,2021-08-05,28
71,23,2021-08-10,17
72,25,2021-08-04,76
73,44,2021-08-02,47
74,40,2021-08-07,94
75,36,2021-08-11,62
76,16,2021-08-07,49
77,8,2021-08-06,1
78,26,2021-08-11,56
79,34,2021-08-03,93
80,31,2021-08-11,71
81,13,2021-08-09,72
82,35,2021-08-11,77
83,1,2021-08-11,18
84,34,2021-08-07,5
85,20,2021-08-01,93
86,28,2021-08-02,74
87,45,2021-08-02,20
88,19,2021-08-05,24
89,28,2021-08-07,93
90,22,2021-08-07,12
91,1,2021-08-11,20
92,36,2021-08-10,32
93,42,2021-08-05,25
94,3,2021-08-06,17
95,38,2021-08-06,43
96,15,2021-08-03,46
97,32,2021-08-08,19
98,17,2021-08-10,3
99,48,2021-08-01,32
100,33,2021-08-07,87
101,13,2021-08-08,42
102,30,2021-08-04,23
103,47,2021-08-05,61
104,34,2021-08-01,78
105,45,2021-08-04,99
106,10,2021-08-06,80
107,31,2021-08-03,76
108,46,2021-08-02,91
109,6,2021-08-06,14
110,6,2021-08-10,42
111,30,2021-08-07,59
112,17,2021-08-04,41
113,36,2021-08-10,73
114,2,2021-08-04,99
115,11,2021-08-04,9
116,11,2021-08-11,2
117,30,2021-08-08,93
118,24,2021-08-01,72
119,49,2021-08-07,23
120,32,2021-08-05,5
121,7,2021-08-10,32
122,30,2021-08-07,60
123,18,2021-08-04,77
124,45,2021-08-04,81
125,24,2021-08-01,60
126,29,2021-08-04,81
127,3,2021-08-06,57
128,33,2021-08-01,67
129,25,2021-08-02,75
130,13,2021-08-10,41
131,29,2021-08-10,29
132,12,2021-08-05,26
133,37,2021-08-06,54
134,34,2021-08-08,75
135,18,2021-08-06,54
136,48,2021-08-06,14
137,37,2021-08-02,33
138,45,2021-08-10,87
139,21,2021-08-10,31
140,6,2021-08-08,58
141,5,2021-08-02,59
142,29,2021-08-08,13
143,12,2021-08-11,49
144,42,2021-08-10,40
145,22,2021-08-02,88
